      Open       High        Low      Close     Volume  Dividends  Stock Splits
  0.277689   0.280329   0.277689   0.278745     844630   0.000000      0.000000
  0.278217   0.278217   0.276105   0.278217     394572   0.000000      0.000000
  0.277161   0.277161   0.276106   0.276106     403820   0.000000      0.000000
  0.276105   0.276633   0.270298   0.271882    2530809   0.000000      0.000000
  0.271354   0.271354   0.269242   0.270298     379159   0.000000      0.000000
  0.270298   0.270298   0.268187   0.269242    1692343   0.000000      0.000000
  0.269242   0.272938   0.269242   0.270298     601106   0.000000      0.000000
  0.270298   0.270298   0.268186   0.268714    1208376   0.000000      0.000000
  0.269242   0.273994   0.269242   0.273466    1797152   0.000000      0.000000
  0.273466   0.275578   0.273466   0.273994    2509231   0.000000      0.000000
  0.274522   0.278217   0.274522   0.278217    1211459   0.000000      0.000000
  0.280564   0.280564   0.278431   0.279497    1072742   0.021897      0.000000
  0.279497   0.280564   0.278964   0.280031    1356341   0.000000      0.000000
  0.280031   0.282698   0.279497   0.282698    1655352   0.000000      0.000000
  0.282698   0.283231   0.281097   0.281631    1353258   0.000000      0.000000
  0.282164   0.283764   0.282164   0.282698    1565957   0.000000      0.000000
  0.284298   0.290165   0.284298   0.289098    2308862   0.000000      0.000000
  0.291765   0.297632   0.291765   0.297099    4608476   0.000000      0.000000
  0.299233   0.307234   0.299233   0.307234    6266911   0.000000      0.000000
  0.307767   0.313634   0.307767   0.310434    3689864   0.000000      0.000000
  0.310434   0.315235   0.308834   0.308834    4451264   0.000000      0.000000
  0.308834   0.315235   0.305100   0.315235    3307622   0.000000      0.000000
  0.315235   0.321635   0.315235   0.319502    8326083   0.000000      0.000000
  0.319502   0.321102   0.316301   0.316301    3113419   0.000000      0.000000
  0.316301   0.321635   0.313634   0.321635    2515396   0.000000      0.000000
  0.321635   0.323769   0.318968   0.319502    2694186   0.000000      0.000000
  0.319502   0.324302   0.316301   0.324302    2863729   0.000000      0.000000
  0.324302   0.332303   0.324302   0.332303    7296497   0.000000      0.000000
  0.332303   0.333903   0.329636   0.333370    4953727   0.000000      0.000000
  0.333370   0.336570   0.332837   0.336037    2928463   0.000000      0.000000
  0.336037   0.336037   0.332836   0.333903    2290366   0.000000      0.000000
  0.333903   0.333903   0.328036   0.330703    2093080   0.000000      0.000000
  0.329103   0.329103   0.321635   0.325369    3101088   0.000000      0.000000
  0.325369   0.325369   0.318435   0.320035    1633774   0.000000      0.000000
  0.320035   0.320569   0.314168   0.317902    3353861   0.000000      0.000000
  0.317902   0.322169   0.317368   0.321635    1180633   0.000000      0.000000
  0.321635   0.323769   0.321102   0.323236    1673848   0.000000      0.000000
  0.324302   0.328036   0.324302   0.324836    1664600   0.000000      0.000000
  0.324836   0.331770   0.324302   0.331770    3631294   0.000000      0.000000
  0.331770   0.332836   0.330169   0.332303    2318110   0.000000      0.000000
  0.332303   0.334970   0.329636   0.334437    2913050   0.000000      0.000000
  0.333370   0.333370   0.330170   0.330703    2006768   0.000000      0.000000
  0.330703   0.334437   0.330169   0.333903    2644865   0.000000      0.000000
  0.333903   0.333903   0.330170   0.331236    3905645   0.000000      0.000000
  0.331236   0.331770   0.329103   0.330703    1960529   0.000000      0.000000
  0.330703   0.332303   0.329636   0.331770    2410588   0.000000      0.000000
  0.331770   0.331770   0.326436   0.326436    1874216   0.000000      0.000000
  0.322169   0.322169   0.314701   0.315235    2666443   0.000000      0.000000
  0.315235   0.320568   0.314168   0.317368    1202211   0.000000      0.000000
  0.317368   0.319502   0.316301   0.316301    1066577   0.000000      0.000000
  0.316301   0.319502   0.315768   0.316301    2416753   0.000000      0.000000
  0.316835   0.322169   0.316835   0.322169    1516636   0.000000      0.000000
  0.323235   0.329636   0.323235   0.329636    1966694   0.000000      0.000000
  0.329636   0.337104   0.329103   0.337104    2617121   0.000000      0.000000
  0.338170   0.340837   0.338170   0.339771    2706516   0.000000      0.000000
  0.339771   0.340304   0.335504   0.337104    1784821   0.000000      0.000000
  0.337104   0.337104   0.330170   0.333370    1926620   0.000000      0.000000
  0.333370   0.342437   0.331236   0.341904    4025866   0.000000      0.000000
  0.341904   0.343504   0.338170   0.341904    4133757   0.000000      0.000000
  0.341904   0.344038   0.339237   0.344038    5104774   0.000000      0.000000
  0.343504   0.343504   0.339771   0.341371    1960529   0.000000      0.000000
  0.341371   0.341371   0.338170   0.338704    1202211   0.000000      0.000000
  0.338704   0.351505   0.338171   0.343504    6541262   0.000000      0.000000
  0.343504   0.345638   0.334970   0.335503    4482090   0.000000      0.000000
  0.335504   0.342438   0.333370   0.334437    3261383   0.000000      0.000000
  0.334437   0.334970   0.328569   0.331236    2324275   0.000000      0.000000
  0.331236   0.334437   0.330169   0.332303    1254615   0.000000      0.000000
  0.332303   0.332303   0.326436   0.326436    2059172   0.000000      0.000000
  0.326436   0.326969   0.321102   0.325369    3061015   0.000000      0.000000
  0.325369   0.326436   0.321635   0.322169    1562875   0.000000      0.000000
  0.322491   0.322491   0.317108   0.322491    2808242   0.022708      0.000000
  0.322492   0.324107   0.318185   0.320338    3887149   0.000000      0.000000
  0.320338   0.320338   0.316569   0.320338    2250293   0.000000      0.000000
  0.320338   0.321415   0.317646   0.319261    2086915   0.000000      0.000000
  0.319261   0.323569   0.318723   0.319261    4044362   0.000000      0.000000
  0.319261   0.321415   0.318185   0.319800     995677   0.000000      0.000000
  0.319800   0.320876   0.300418   0.303648    3184318   0.000000      0.000000
  0.303648   0.307955   0.303110   0.303648    4075188   0.000000      0.000000
  0.303648   0.306340   0.300418   0.301495    2524643   0.000000      0.000000
  0.301495   0.303110   0.300418   0.300418    2139319   0.000000      0.000000
  0.300418   0.304725   0.298803   0.298803    2765086   0.000000      0.000000
  0.298264   0.298264   0.291804   0.297726    4472842   0.000000      0.000000
